                                          AUGUST 1999 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Su 29 22:27:03 05VI14 00AR29 24LE52 22LE07 27SC02 04TA58 17TA11 13AQ60 02AQ08 07SG46 11LE41 
Mo 30 22:30:59 06VI12 14AR22 26LE48 21LE38 27SC38 04TA57 17TA11 13AQ57 02AQ07 07SG46 11LE38 
Tu 31 22:34:56 07VI10 28AR25 28LE45 21LE11 28SC15 04TA56 17TA11 13AQ55 02AQ05 07SG47 11LE35 
                                         SEPTEMBER 1999 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
We 01 22:38:53 08VI08 12TA34 00VI43 20LE47 28SC52 04TA54 17TA11 13AQ53 02AQ04 07SG47 11LE32 
Th 02 22:42:49 09VI06 26TA47 02VI41 20LE24 29SC30 04TA53 17TA10 13AQ51 02AQ03 07SG47 11LE28 
Fr 03 22:46:46 10VI04 10GE60 04VI38 20LE04 00SG07 04TA51 17TA10 13AQ49 02AQ02 07SG48 11LE25 
Sa 04 22:50:42 11VI02 25GE11 06VI36 19LE46 00SG45 04TA49 17TA10 13AQ47 02AQ00 07SG48 11LE22 
Su 05 22:54:39 12VI00 09CN18 08VI33 19LE30 01SG22 04TA47 17TA09 13AQ45 01AQ59 07SG49 11LE19 
Mo 06 22:58:35 12VI58 23CN19 10VI29 19LE17 02SG00 04TA45 17TA08 13AQ43 01AQ58 07SG50 11LE16 
Tu 07 23:02:32 13VI56 07LE13 12VI25 19LE06 02SG38 04TA43 17TA07 13AQ41 01AQ57 07SG50 11LE13 
We 08 23:06:28 14VI55 20LE58 14VI20 18LE58 03SG17 04TA40 17TA07 13AQ39 01AQ56 07SG51 11LE09 
Th 09 23:10:25 15VI53 04VI31 16VI14 18LE52 03SG55 04TA37 17TA06 13AQ37 01AQ55 07SG51 11LE06 
Fr 10 23:14:22 16VI51 17VI51 18VI07 18LE48 04SG34 04TA34 17TA04 13AQ35 01AQ54 07SG52 11LE03 
Sa 11 23:18:18 17VI50 00LI56 19VI59 18LE47 05SG13 04TA31 17TA03 13AQ33 01AQ53 07SG53 10LE60 
Su 12 23:22:15 18VI48 13LI45 21VI50 18LE48 05SG51 04TA27 17TA02 13AQ32 01AQ52 07SG54 10LE57 
Mo 13 23:26:11 19VI46 26LI18 23VI40 18LE52 06SG31 04TA24 17TA00 13AQ30 01AQ51 07SG54 10LE53 
Tu 14 23:30:08 20VI45 08SC37 25VI29 18LE57 07SG10 04TA20 16TA59 13AQ28 01AQ50 07SG55 10LE50 
We 15 23:34:04 21VI43 20SC44 27VI16 19LE05 07SG49 04TA16 16TA57 13AQ26 01AQ49 07SG56 10LE47 
Th 16 23:38:01 22VI42 02SG41 29VI03 19LE15 08SG29 04TA12 16TA56 13AQ25 01AQ48 07SG57 10LE44 
Fr 17 23:41:57 23VI40 14SG33 00LI49 19LE28 09SG08 04TA07 16TA54 13AQ23 01AQ47 07SG58 10LE41 
Sa 18 23:45:54 24VI39 26SG25 02LI33 19LE42 09SG48 04TA03 16TA52 13AQ21 01AQ46 07SG59 10LE38 
Su 19 23:49:51 25VI37 08CP21 04LI17 19LE58 10SG28 03TA58 16TA50 13AQ20 01AQ46 08SG00 10LE34 
Mo 20 23:53:47 26VI36 20CP26 05LI59 20LE16 11SG08 03TA53 16TA48 13AQ18 01AQ45 08SG01 10LE31 
Tu 21 23:57:44 27VI34 02AQ46 07LI40 20LE36 11SG49 03TA48 16TA45 13AQ17 01AQ44 08SG02 10LE28 
We 22 00:01:40 28VI33 15AQ25 09LI21 20LE58 12SG29 03TA43 16TA43 13AQ15 01AQ43 08SG03 10LE25 
Th 23 00:05:37 29VI32 28AQ25 11LI00 21LE22 13SG09 03TA38 16TA41 13AQ14 01AQ43 08SG04 10LE22 
Fr 24 00:09:33 00LI30 11PI49 12LI39 21LE47 13SG50 03TA32 16TA38 13AQ12 01AQ42 08SG05 10LE19 
Sa 25 00:13:30 01LI29 25PI35 14LI16 22LE14 14SG31 03TA26 16TA36 13AQ11 01AQ41 08SG07 10LE15 
Su 26 00:17:26 02LI28 09AR41 15LI53 22LE43 15SG12 03TA21 16TA33 13AQ10 01AQ41 08SG08 10LE12 
Mo 27 00:21:23 03LI27 24AR03 17LI28 23LE13 15SG53 03TA15 16TA30 13AQ08 01AQ40 08SG09 10LE09 
Tu 28 00:25:20 04LI26 08TA34 19LI03 23LE45 16SG34 03TA09 16TA27 13AQ07 01AQ40 08SG10 10LE06 
We 29 00:29:16 05LI24 23TA07 20LI37 24LE18 17SG15 03TA02 16TA24 13AQ06 01AQ39 08SG12 10LE03 
Th 30 00:33:13 06LI23 07GE37 22LI10 24LE53 17SG57 02TA56 16TA21 13AQ05 01AQ39 08SG13 09LE59 
                                          OCTOBER 1999 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Fr 01 00:37:09 07LI22 21GE59 23LI42 25LE28 18SG38 02TA49 16TA18 13AQ04 01AQ38 08SG14 09LE56 
Sa 02 00:41:06 08LI21 06CN09 25LI13 26LE06 19SG20 02TA43 16TA15 13AQ03 01AQ38 08SG16 09LE53 
Su 03 00:45:02 09LI20 20CN06 26LI43 26LE44 20SG01 02TA36 16TA12 13AQ02 01AQ38 08SG17 09LE50 
Mo 04 00:48:59 10LI19 03LE51 28LI12 27LE24 20SG43 02TA29 16TA08 13AQ01 01AQ37 08SG19 09LE47 
Tu 05 00:52:55 11LI18 17LE23 29LI41 28LE04 21SG25 02TA22 16TA05 12AQ60 01AQ37 08SG20 09LE44 
We 06 00:56:52 12LI18 00VI44 01SC08 28LE46 22SG07 02TA15 16TA01 12AQ59 01AQ37 08SG21 09LE40 
Th 07 01:00:49 13LI17 13VI53 02SC35 29LE29 22SG49 02TA08 15TA58 12AQ58 01AQ36 08SG23 09LE37 
Fr 08 01:04:45 14LI16 26VI51 04SC01 00VI13 23SG32 02TA00 15TA54 12AQ57 01AQ36 08SG25 09LE34 
Sa 09 01:08:42 15LI15 09LI38 05SC26 00VI58 24SG14 01TA53 15TA50 12AQ57 01AQ36 08SG26 09LE31 
Su 10 01:12:38 16LI15 22LI13 06SC50 01VI44 24SG57 01TA45 15TA46 12AQ56 01AQ36 08SG28 09LE28 
Mo 11 01:16:35 17LI14 04SC36 08SC13 02VI31 25SG39 01TA38 15TA43 12AQ55 01AQ36 08SG29 09LE24 
Tu 12 01:20:31 18LI13 16SC48 09SC35 03VI18 26SG22 01TA30 15TA39 12AQ55 01AQ36 08SG31 09LE21 
We 13 01:24:28 19LI13 28SC51 10SC56 04VI07 27SG05 01TA22 15TA35 12AQ54 01AQ36 08SG33 09LE18 
Th 14 01:28:24 20LI12 10SG45 12SC16 04VI56 27SG48 01TA14 15TA30 12AQ54 01AQ35 08SG34 09LE15 
Fr 15 01:32:21 21LI11 22SG35 13SC34 05VI47 28SG31 01TA06 15TA26 12AQ53 01AQ36 08SG36 09LE12 
Sa 16 01:36:18 22LI11 04CP24 14SC52 06VI37 29SG14 00TA58 15TA22 12AQ53 01AQ36 08SG38 09LE09 
Su 17 01:40:14 23LI10 16CP17 16SC08 07VI29 29SG57 00TA51 15TA18 12AQ53 01AQ36 08SG40 09LE05 
Mo 18 01:44:11 24LI10 28CP20 17SC23 08VI21 00CP40 00TA42 15TA14 12AQ52 01AQ36 08SG41 09LE02 
Tu 19 01:48:07 25LI09 10AQ37 18SC36 09VI14 01CP24 00TA34 15TA09 12AQ52 01AQ36 08SG43 08LE59 
We 20 01:52:04 26LI09 23AQ14 19SC47 10VI08 02CP07 00TA26 15TA05 12AQ52 01AQ36 08SG45 08LE56 
Th 21 01:56:00 27LI09 06PI16 20SC57 11VI02 02CP51 00TA18 15TA00 12AQ52 01AQ36 08SG47 08LE53 
Fr 22 01:59:57 28LI08 19PI45 22SC05 11VI57 03CP35 00TA10 14TA56 12AQ52 01AQ37 08SG49 08LE50 
Sa 23 02:03:53 29LI08 03AR42 23SC10 12VI53 04CP18 00TA02 14TA51 12AQ52 01AQ37 08SG51 08LE46 
Su 24 02:07:50 00SC08 18AR05 24SC14 13VI49 05CP02 29AR54 14TA47 12AQ52 01AQ37 08SG53 08LE43 
Mo 25 02:11:47 01SC07 02TA49 25SC14 14VI46 05CP46 29AR46 14TA42 12AQ52 01AQ37 08SG54 08LE40 
Tu 26 02:15:43 02SC07 17TA46 26SC12 15VI43 06CP30 29AR38 14TA37 12AQ52 01AQ38 08SG56 08LE37 
We 27 02:19:40 03SC07 02GE46 27SC07 16VI41 07CP14 29AR30 14TA33 12AQ52 01AQ38 08SG58 08LE34 
Th 28 02:23:36 04SC07 17GE39 27SC58 17VI39 07CP58 29AR21 14TA28 12AQ52 01AQ39 09SG00 08LE30 
Fr 29 02:27:33 05SC07 02CN19 28SC45 18VI38 08CP42 29AR13 14TA23 12AQ52 01AQ39 09SG02 08LE27 
Sa 30 02:31:29 06SC07 16CN41 29SC28 19VI37 09CP27 29AR05 14TA19 12AQ53 01AQ40 09SG04 08LE24 
Su 31 02:35:26 07SC07 00LE42 00SG06 20VI37 10CP11 28AR57 14TA14 12AQ53 01AQ40 09SG06 08LE21 
                                         NOVEMBER 1999 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Mo 01 02:39:22 08SC07 14LE22 00SG38 21VI37 10CP55 28AR49 14TA09 12AQ54 01AQ41 09SG09 08LE18 
Tu 02 02:43:19 09SC07 27LE44 01SG05 22VI38 11CP40 28AR42 14TA04 12AQ54 01AQ42 09SG11 08LE15 
We 03 02:47:16 10SC07 10VI49 01SG25 23VI39 12CP25 28AR34 13TA59 12AQ55 01AQ42 09SG13 08LE11 
Th 04 02:51:12 11SC07 23VI40 01SG38 24VI41 13CP09 28AR26 13TA54 12AQ55 01AQ43 09SG15 08LE08 
Fr 05 02:55:09 12SC07 06LI19 01SG43 25VI43 13CP54 28AR18 13TA50 12AQ56 01AQ44 09SG17 08LE05 
Sa 06 02:59:05 13SC07 18LI48 01SG40 26VI45 14CP39 28AR11 13TA45 12AQ56 01AQ44 09SG19 08LE02 
Su 07 03:03:02 14SC07 01SC08 01SG28 27VI47 15CP24 28AR03 13TA40 12AQ57 01AQ45 09SG21 07LE59 
Mo 08 03:06:58 15SC08 13SC19 01SG06 28VI50 16CP09 27AR56 13TA35 12AQ58 01AQ46 09SG23 07LE56 
Tu 09 03:10:55 16SC08 25SC23 00SG34 29VI54 16CP54 27AR48 13TA30 12AQ59 01AQ47 09SG26 07LE52 
We 10 03:14:51 17SC08 07SG19 29SC53 00LI57 17CP39 27AR41 13TA25 12AQ60 01AQ48 09SG28 07LE49 
Th 11 03:18:48 18SC08 19SG10 29SC02 02LI01 18CP24 27AR34 13TA21 13AQ01 01AQ49 09SG30 07LE46 
Fr 12 03:22:45 19SC09 00CP58 28SC01 03LI06 19CP09 27AR27 13TA16 13AQ02 01AQ50 09SG32 07LE43 
Sa 13 03:26:41 20SC09 12CP46 26SC53 04LI10 19CP54 27AR20 13TA11 13AQ03 01AQ50 09SG34 07LE40 
Su 14 03:30:38 21SC10 24CP38 25SC39 05LI15 20CP39 27AR13 13TA06 13AQ04 01AQ51 09SG37 07LE36 
Mo 15 03:34:34 22SC10 06AQ38 24SC20 06LI20 21CP25 27AR07 13TA01 13AQ05 01AQ53 09SG39 07LE33 
Tu 16 03:38:31 23SC10 18AQ51 22SC59 07LI26 22CP10 26AR60 12TA57 13AQ06 01AQ54 09SG41 07LE30 
We 17 03:42:27 24SC11 01PI24 21SC39 08LI32 22CP56 26AR54 12TA52 13AQ07 01AQ55 09SG43 07LE27 
Th 18 03:46:24 25SC11 14PI20 20SC23 09LI38 23CP41 26AR47 12TA47 13AQ09 01AQ56 09SG46 07LE24 
Fr 19 03:50:20 26SC12 27PI44 19SC12 10LI44 24CP27 26AR41 12TA43 13AQ10 01AQ57 09SG48 07LE21 
Sa 20 03:54:17 27SC12 11AR39 18SC09 11LI50 25CP12 26AR35 12TA38 13AQ11 01AQ58 09SG50 07LE17 
Su 21 03:58:14 28SC13 26AR03 17SC16 12LI57 25CP58 26AR29 12TA33 13AQ13 01AQ59 09SG53 07LE14 
Mo 22 04:02:10 29SC13 10TA53 16SC34 14LI04 26CP44 26AR24 12TA29 13AQ14 02AQ01 09SG55 07LE11 
Tu 23 04:06:07 00SG14 26TA02 16SC04 15LI11 27CP29 26AR18 12TA24 13AQ16 02AQ02 09SG57 07LE08 
We 24 04:10:03 01SG15 11GE19 15SC45 16LI19 28CP15 26AR13 12TA20 13AQ17 02AQ03 09SG60 07LE05 
Th 25 04:13:60 02SG15 26GE32 15SC37 17LI27 29CP01 26AR08 12TA15 13AQ19 02AQ05 10SG02 07LE01 
Fr 26 04:17:56 03SG16 11CN33 15SC41 18LI34 29CP47 26AR03 12TA11 13AQ20 02AQ06 10SG04 06LE58 
Sa 27 04:21:53 04SG17 26CN12 15SC55 19LI42 00AQ33 25AR58 12TA07 13AQ22 02AQ07 10SG06 06LE55 
Su 28 04:25:49 05SG17 10LE27 16SC18 20LI51 01AQ18 25AR53 12TA03 13AQ24 02AQ09 10SG09 06LE52 
Mo 29 04:29:46 06SG18 24LE15 16SC50 21LI59 02AQ04 25AR49 11TA58 13AQ26 02AQ10 10SG11 06LE49 
Tu 30 04:33:43 07SG19 07VI39 17SC30 23LI08 02AQ50 25AR45 11TA54 13AQ28 02AQ12 10SG13 06LE46 
                                         DECEMBER 1999 
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
We 01 04:37:39 08SG20 20VI41 18SC16 24LI17 03AQ36 25AR41 11TA50 13AQ29 02AQ13 10SG16 06LE42 
Th 02 04:41:36 09SG20 03LI25 19SC09 25LI26 04AQ23 25AR37 11TA46 13AQ31 02AQ15 10SG18 06LE39 
Fr 03 04:45:32 10SG21 15LI53 20SC07 26LI35 05AQ09 25AR33 11TA42 13AQ33 02AQ16 10SG20 06LE36 
Sa 04 04:49:29 11SG22 28LI10 21SC09 27LI44 05AQ55 25AR29 11TA38 13AQ35 02AQ18 10SG23 06LE33 
Su 05 04:53:25 12SG23 10SC18 22SC16 28LI54 06AQ41 25AR26 11TA34 13AQ37 02AQ19 10SG25 06LE30 
Mo 06 04:57:22 13SG24 22SC18 23SC25 00SC04 07AQ27 25AR23 11TA31 13AQ39 02AQ21 10SG28 06LE27 
Tu 07 05:01:18 14SG25 04SG14 24SC38 01SC14 08AQ13 25AR20 11TA27 13AQ42 02AQ23 10SG30 06LE23 
We 08 05:05:15 15SG26 16SG05 25SC54 02SC24 08AQ60 25AR17 11TA23 13AQ44 02AQ24 10SG32 06LE20 
Th 09 05:09:12 16SG27 27SG55 27SC12 03SC34 09AQ46 25AR15 11TA20 13AQ46 02AQ26 10SG35 06LE17 
Fr 10 05:13:08 17SG28 09CP44 28SC31 04SC44 10AQ32 25AR12 11TA16 13AQ48 02AQ28 10SG37 06LE14 
Sa 11 05:17:05 18SG29 21CP34 29SC53 05SC54 11AQ19 25AR10 11TA13 13AQ51 02AQ30 10SG39 06LE11 
Su 12 05:21:01 19SG30 03AQ29 01SG15 07SC05 12AQ05 25AR08 11TA10 13AQ53 02AQ31 10SG41 06LE07 
Mo 13 05:24:58 20SG31 15AQ32 02SG39 08SC16 12AQ51 25AR07 11TA07 13AQ55 02AQ33 10SG44 06LE04 
Tu 14 05:28:54 21SG32 27AQ46 04SG04 09SC26 13AQ38 25AR05 11TA04 13AQ58 02AQ35 10SG46 06LE01 
We 15 05:32:51 22SG33 10PI17 05SG30 10SC37 14AQ24 25AR04 11TA01 14AQ00 02AQ37 10SG48 05LE58 
Th 16 05:36:47 23SG34 23PI08 06SG57 11SC48 15AQ10 25AR03 10TA58 14AQ03 02AQ39 10SG51 05LE55 
Fr 17 05:40:44 24SG35 06AR24 08SG24 12SC59 15AQ57 25AR02 10TA55 14AQ05 02AQ41 10SG53 05LE52 
Sa 18 05:44:41 25SG36 20AR07 09SG52 14SC11 16AQ43 25AR01 10TA52 14AQ08 02AQ42 10SG55 05LE48 
Su 19 05:48:37 26SG37 04TA20 11SG21 15SC22 17AQ30 25AR01 10TA49 14AQ10 02AQ44 10SG58 05LE45 
Mo 20 05:52:34 27SG38 18TA59 12SG50 16SC33 18AQ16 25AR01 10TA47 14AQ13 02AQ46 10SG60 05LE42 
Tu 21 05:56:30 28SG39 03GE60 14SG20 17SC45 19AQ03 25AR01 10TA44 14AQ16 02AQ48 11SG02 05LE39 
We 22 06:00:27 29SG40 19GE14 15SG50 18SC56 19AQ49 25AR01 10TA42 14AQ18 02AQ50 11SG04 05LE36 
Th 23 06:04:23 00CP41 04CN32 17SG20 20SC08 20AQ36 25AR01 10TA40 14AQ21 02AQ52 11SG07 05LE33 
Fr 24 06:08:20 01CP42 19CN42 18SG51 21SC20 21AQ22 25AR02 10TA38 14AQ24 02AQ54 11SG09 05LE29 
Sa 25 06:12:16 02CP44 04LE35 20SG21 22SC32 22AQ09 25AR03 10TA36 14AQ27 02AQ56 11SG11 05LE26 
Su 26 06:16:13 03CP45 19LE05 21SG53 23SC44 22AQ55 25AR04 10TA34 14AQ29 02AQ58 11SG13 05LE23 
Mo 27 06:20:10 04CP46 03VI08 23SG24 24SC56 23AQ42 25AR05 10TA32 14AQ32 03AQ00 11SG15 05LE20 
Tu 28 06:24:06 05CP47 16VI43 24SG56 26SC08 24AQ28 25AR06 10TA30 14AQ35 03AQ02 11SG18 05LE17 
We 29 06:28:03 06CP48 29VI52 26SG28 27SC20 25AQ15 25AR08 10TA29 14AQ38 03AQ04 11SG20 05LE13 
Th 30 06:31:59 07CP49 12LI38 28SG01 28SC33 26AQ01 25AR10 10TA27 14AQ41 03AQ07 11SG22 05LE10 
Fr 31 06:35:56 08CP50 25LI05 29SG34 29SC45 26AQ48 25AR12 10TA26 14AQ44 03AQ09 11SG24 05LE07 


JANUARY 2000

DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Sa 01 06:39:52 09CP51 07SC17 01CP07 00SG58 27AQ34 25AR14 10TA24 14AQ47 03AQ11 11SG26 05LE04 
Su 02 06:43:49 10CP53 19SC19 02CP40 02SG10 28AQ21 25AR16 10TA23 14AQ50 03AQ13 11SG28 05LE01 
Mo 03 06:47:45 11CP54 01SG13 04CP14 03SG23 29AQ08 25AR19 10TA22 14AQ53 03AQ15 11SG30 04LE58 
Tu 04 06:51:42 12CP55 13SG03 05CP48 04SG35 29AQ54 25AR22 10TA21 14AQ56 03AQ17 11SG32 04LE54 
We 05 06:55:39 13CP56 24SG52 07CP22 05SG48 00PI41 25AR25 10TA20 14AQ59 03AQ19 11SG35 04LE51 
Th 06 06:59:35 14CP57 06CP42 08CP57 07SG01 01PI27 25AR28 10TA19 15AQ02 03AQ22 11SG37 04LE48 
Fr 07 07:03:32 15CP59 18CP35 10CP32 08SG14 02PI14 25AR32 10TA19 15AQ05 03AQ24 11SG39 04LE45 
Sa 08 07:07:28 16CP60 00AQ33 12CP07 09SG27 03PI00 25AR35 10TA18 15AQ09 03AQ26 11SG41 04LE42 
Su 09 07:11:25 18CP01 12AQ38 13CP43 10SG40 03PI47 25AR39 10TA18 15AQ12 03AQ28 11SG43 04LE39 
Mo 10 07:15:21 19CP02 24AQ51 15CP20 11SG53 04PI33 25AR43 10TA18 15AQ15 03AQ30 11SG45 04LE35 
Tu 11 07:19:18 20CP03 07PI16 16CP56 13SG06 05PI20 25AR47 10TA17 15AQ18 03AQ33 11SG47 04LE32 
We 12 07:23:14 21CP04 19PI54 18CP33 14SG19 06PI06 25AR52 10TA17 15AQ21 03AQ35 11SG48 04LE29 
Th 13 07:27:11 22CP05 02AR49 20CP11 15SG32 06PI53 25AR56 10TA17 15AQ25 03AQ37 11SG50 04LE26 
Fr 14 07:31:08 23CP07 16AR02 21CP49 16SG45 07PI39 26AR01 10TA17 15AQ28 03AQ39 11SG52 04LE23 
Sa 15 07:35:04 24CP08 29AR38 23CP28 17SG58 08PI26 26AR06 10TA18 15AQ31 03AQ42 11SG54 04LE19 
Su 16 07:39:01 25CP09 13TA35 25CP07 19SG12 09PI12 26AR11 10TA18 15AQ35 03AQ44 11SG56 04LE16 
Mo 17 07:42:57 26CP10 27TA55 26CP46 20SG25 09PI59 26AR17 10TA19 15AQ38 03AQ46 11SG58 04LE13 
Tu 18 07:46:54 27CP11 12GE35 28CP26 21SG38 10PI45 26AR22 10TA19 15AQ41 03AQ48 11SG60 04LE10 
We 19 07:50:50 28CP12 27GE29 00AQ07 22SG52 11PI31 26AR28 10TA20 15AQ45 03AQ51 12SG01 04LE07 
Th 20 07:54:47 29CP13 12CN30 01AQ48 24SG05 12PI18 26AR34 10TA21 15AQ48 03AQ53 12SG03 04LE04 
Fr 21 07:58:43 00AQ14 27CN31 03AQ30 25SG18 13PI04 26AR40 10TA22 15AQ51 03AQ55 12SG05 04LE00 
Sa 22 08:02:40 01AQ15 12LE22 05AQ12 26SG32 13PI50 26AR46 10TA23 15AQ55 03AQ57 12SG07 03LE57 
Su 23 08:06:37 02AQ16 26LE56 06AQ54 27SG45 14PI37 26AR52 10TA24 15AQ58 03AQ60 12SG08 03LE54 
Mo 24 08:10:33 03AQ17 11VI07 08AQ37 28SG59 15PI23 26AR59 10TA25 16AQ02 04AQ02 12SG10 03LE51 
Tu 25 08:14:30 04AQ18 24VI52 10AQ21 00CP13 16PI09 27AR05 10TA26 16AQ05 04AQ04 12SG12 03LE48 
We 26 08:18:26 05AQ19 08LI10 12AQ05 01CP26 16PI56 27AR12 10TA28 16AQ09 04AQ07 12SG13 03LE45 
Th 27 08:22:23 06AQ20 21LI04 13AQ49 02CP40 17PI42 27AR19 10TA30 16AQ12 04AQ09 12SG15 03LE41 
Fr 28 08:26:19 07AQ21 03SC36 15AQ34 03CP54 18PI28 27AR27 10TA31 16AQ15 04AQ11 12SG16 03LE38 
Sa 29 08:30:16 08AQ22 15SC50 17AQ18 05CP07 19PI14 27AR34 10TA33 16AQ19 04AQ13 12SG18 03LE35 
Su 30 08:34:12 09AQ23 27SC52 19AQ03 06CP21 20PI00 27AR41 10TA35 16AQ22 04AQ16 12SG19 03LE32 
Mo 31 08:38:09 10AQ24 09SG44 20AQ48 07CP35 20PI46 27AR49 10TA37 16AQ26 04AQ18 12SG21 03LE29 
                                         FEBRUARY 2000
DATE  SID.TIME  SUN   MOON  MERCURY  VENUS  MARS JUPITER SATURN URANUS NEPTUNE PLUTO  NODE 
Tu 01 08:42:06 11AQ25 21SG33 22AQ33 08CP49 21PI33 27AR57 10TA39 16AQ29 04AQ20 12SG22 03LE25 
We 02 08:46:02 12AQ26 03CP22 24AQ17 10CP02 22PI19 28AR05 10TA41 16AQ33 04AQ22 12SG24 03LE22 
Th 03 08:49:59 13AQ27 15CP14 26AQ01 11CP16 23PI05 28AR13 10TA44 16AQ36 04AQ25 12SG25 03LE19 
Fr 04 08:53:55 14AQ28 27CP13 27AQ44 12CP30 23PI51 28AR21 10TA46 16AQ40 04AQ27 12SG26 03LE16 
Sa 05 08:57:52 15AQ29 09AQ21 29AQ26 13CP44 24PI37 28AR30 10TA49 16AQ43 04AQ29 12SG28 03LE13 
Su 06 09:01:48 16AQ30 21AQ40 01PI06 14CP58 25PI23 28AR38 10TA51 16AQ47 04AQ31 12SG29 03LE10 
Mo 07 09:05:45 17AQ30 04PI10 02PI45 16CP12 26PI09 28AR47 10TA54 16AQ50 04AQ34 12SG30 03LE06 
